distrito,fecha,fecha_texto,precio_m2,precio_texto
Alisal - Cazoña - San Román,2025-10-01,Octubre 2025,1863.55,1.864 €/m2
Alisal - Cazoña - San Román,2025-09-01,Septiembre 2025,1860.9,1.861 €/m2
Alisal - Cazoña - San Román,2025-08-01,Agosto 2025,1864.66,1.865 €/m2
Alisal - Cazoña - San Román,2025-07-01,Julio 2025,1867.83,1.868 €/m2
Alisal - Cazoña - San Román,2025-06-01,Junio 2025,1826.98,1.827 €/m2
Alisal - Cazoña - San Román,2025-05-01,Mayo 2025,1833.62,1.834 €/m2
Alisal - Cazoña - San Román,2025-04-01,Abril 2025,1779.81,1.780 €/m2
Alisal - Cazoña - San Román,2025-03-01,Marzo 2025,1808.89,1.809 €/m2
Alisal - Cazoña - San Román,2025-02-01,Febrero 2025,1829.41,1.829 €/m2
Alisal - Cazoña - San Román,2025-01-01,Enero 2025,1853.43,1.853 €/m2
Alisal - Cazoña - San Román,2024-12-01,Diciembre 2024,1912.9,1.913 €/m2
Alisal - Cazoña - San Román,2024-11-01,Noviembre 2024,1847.69,1.848 €/m2
Alisal - Cazoña - San Román,2024-10-01,Octubre 2024,1782.47,1.782 €/m2
Alisal - Cazoña - San Román,2024-09-01,Septiembre 2024,1717.26,1.717 €/m2
Alisal - Cazoña - San Román,2024-08-01,Agosto 2024,1657.6,1.658 €/m2
Alisal - Cazoña - San Román,2024-07-01,Julio 2024,1688.12,1.688 €/m2
Alisal - Cazoña - San Román,2024-06-01,Junio 2024,1761.1,1.761 €/m2
Alisal - Cazoña - San Román,2024-05-01,Mayo 2024,1753.46,1.753 €/m2
Alisal - Cazoña - San Román,2024-04-01,Abril 2024,1702.47,1.702 €/m2
Alisal - Cazoña - San Román,2024-03-01,Marzo 2024,1651.49,1.651 €/m2
Alisal - Cazoña - San Román,2024-02-01,Febrero 2024,1583.18,1.583 €/m2
Alisal - Cazoña - San Román,2024-01-01,Enero 2024,1571.12,1.571 €/m2
Alisal - Cazoña - San Román,2023-12-01,Diciembre 2023,1526.19,1.526 €/m2
Alisal - Cazoña - San Román,2023-11-01,Noviembre 2023,1518.89,1.519 €/m2
Alisal - Cazoña - San Román,2023-10-01,Octubre 2023,1560.37,1.560 €/m2
Alisal - Cazoña - San Román,2023-09-01,Septiembre 2023,1552.38,1.552 €/m2
Alisal - Cazoña - San Román,2023-08-01,Agosto 2023,1546.82,1.547 €/m2
Alisal - Cazoña - San Román,2023-07-01,Julio 2023,1513.74,1.514 €/m2
Alisal - Cazoña - San Román,2023-06-01,Junio 2023,1532.63,1.533 €/m2
Alisal - Cazoña - San Román,2023-05-01,Mayo 2023,1543.8,1.544 €/m2
Alisal - Cazoña - San Román,2023-04-01,Abril 2023,1590.55,1.591 €/m2
Alisal - Cazoña - San Román,2023-03-01,Marzo 2023,1549.92,1.550 €/m2
Alisal - Cazoña - San Román,2023-02-01,Febrero 2023,1544.71,1.545 €/m2
Alisal - Cazoña - San Román,2023-01-01,Enero 2023,1563.86,1.564 €/m2
Alisal - Cazoña - San Román,2022-12-01,Diciembre 2022,1560.34,1.560 €/m2
Alisal - Cazoña - San Román,2022-11-01,Noviembre 2022,1541.15,1.541 €/m2
Alisal - Cazoña - San Román,2022-10-01,Octubre 2022,1458.46,1.458 €/m2
Alisal - Cazoña - San Román,2022-09-01,Septiembre 2022,1494.72,1.495 €/m2
Alisal - Cazoña - San Román,2022-08-01,Agosto 2022,1458.7,1.459 €/m2
Alisal - Cazoña - San Román,2022-07-01,Julio 2022,1457.54,1.458 €/m2
Alisal - Cazoña - San Román,2022-06-01,Junio 2022,1460.55,1.461 €/m2
Alisal - Cazoña - San Román,2022-05-01,Mayo 2022,1428.12,1.428 €/m2
Alisal - Cazoña - San Román,2022-04-01,Abril 2022,1431.44,1.431 €/m2
Alisal - Cazoña - San Román,2022-03-01,Marzo 2022,1464.12,1.464 €/m2
Alisal - Cazoña - San Román,2022-02-01,Febrero 2022,1537.8,1.538 €/m2
Alisal - Cazoña - San Román,2022-01-01,Enero 2022,1565.74,1.566 €/m2
Alisal - Cazoña - San Román,2021-12-01,Diciembre 2021,1542.1,1.542 €/m2
Alisal - Cazoña - San Román,2021-11-01,Noviembre 2021,1547.7,1.548 €/m2
Alisal - Cazoña - San Román,2021-10-01,Octubre 2021,1541.85,1.542 €/m2
Alisal - Cazoña - San Román,2021-09-01,Septiembre 2021,1561.13,1.561 €/m2
Alisal - Cazoña - San Román,2021-08-01,Agosto 2021,1571,1.571 €/m2
Alisal - Cazoña - San Román,2021-07-01,Julio 2021,1596.15,1.596 €/m2
Alisal - Cazoña - San Román,2021-06-01,Junio 2021,1563.1,1.563 €/m2
Alisal - Cazoña - San Román,2021-05-01,Mayo 2021,1546,1.546 €/m2
Alisal - Cazoña - San Román,2021-04-01,Abril 2021,1508.99,1.509 €/m2
Alisal - Cazoña - San Román,2021-03-01,Marzo 2021,1524.44,1.524 €/m2
Alisal - Cazoña - San Román,2021-02-01,Febrero 2021,1517.94,1.518 €/m2
Alisal - Cazoña - San Román,2021-01-01,Enero 2021,1510.3,1.510 €/m2
Alisal - Cazoña - San Román,2020-12-01,Diciembre 2020,1508.82,1.509 €/m2
Alisal - Cazoña - San Román,2020-11-01,Noviembre 2020,1510.84,1.511 €/m2
Alisal - Cazoña - San Román,2020-10-01,Octubre 2020,1546.75,1.547 €/m2
Alisal - Cazoña - San Román,2020-09-01,Septiembre 2020,1497.93,1.498 €/m2
Alisal - Cazoña - San Román,2020-08-01,Agosto 2020,1521.35,1.521 €/m2
Alisal - Cazoña - San Román,2020-07-01,Julio 2020,1522.28,1.522 €/m2
Alisal - Cazoña - San Román,2020-06-01,Junio 2020,1509.92,1.510 €/m2
Alisal - Cazoña - San Román,2020-05-01,Mayo 2020,1482.41,1.482 €/m2
Alisal - Cazoña - San Román,2020-04-01,Abril 2020,1496.74,1.497 €/m2
Alisal - Cazoña - San Román,2020-03-01,Marzo 2020,1491.88,1.492 €/m2
Alisal - Cazoña - San Román,2020-02-01,Febrero 2020,1483.75,1.484 €/m2
Alisal - Cazoña - San Román,2020-01-01,Enero 2020,1480.43,1.480 €/m2
Alisal - Cazoña - San Román,2019-12-01,Diciembre 2019,1474.4,1.474 €/m2
Alisal - Cazoña - San Román,2019-11-01,Noviembre 2019,1478.9,1.479 €/m2
Alisal - Cazoña - San Román,2019-10-01,Octubre 2019,1498.19,1.498 €/m2
Alisal - Cazoña - San Román,2019-09-01,Septiembre 2019,1488.34,1.488 €/m2
Alisal - Cazoña - San Román,2019-08-01,Agosto 2019,1477.79,1.478 €/m2
Alisal - Cazoña - San Román,2019-07-01,Julio 2019,1471.06,1.471 €/m2
Alisal - Cazoña - San Román,2019-06-01,Junio 2019,1483.75,1.484 €/m2
Alisal - Cazoña - San Román,2019-05-01,Mayo 2019,1470.74,1.471 €/m2
Alisal - Cazoña - San Román,2019-04-01,Abril 2019,1480.83,1.481 €/m2
Alisal - Cazoña - San Román,2019-03-01,Marzo 2019,1470.15,1.470 €/m2
Alisal - Cazoña - San Román,2019-02-01,Febrero 2019,1481.2,1.481 €/m2
Alisal - Cazoña - San Román,2019-01-01,Enero 2019,1477.88,1.478 €/m2
Alisal - Cazoña - San Román,2018-12-01,Diciembre 2018,1461.55,1.462 €/m2
