municipio,fecha,fecha_texto,precio_m2,precio_texto
Santander,2025-10-01,Octubre 2025,2949.7,2.950 €/m2
Santander,2025-09-01,Septiembre 2025,2914.74,2.915 €/m2
Santander,2025-08-01,Agosto 2025,2881.35,2.881 €/m2
Santander,2025-07-01,Julio 2025,2818.25,2.818 €/m2
Santander,2025-06-01,Junio 2025,2760.41,2.760 €/m2
Santander,2025-05-01,Mayo 2025,2726.85,2.727 €/m2
Santander,2025-04-01,Abril 2025,2656.66,2.657 €/m2
Santander,2025-03-01,Marzo 2025,2579.91,2.580 €/m2
Santander,2025-02-01,Febrero 2025,2602.37,2.602 €/m2
Santander,2025-01-01,Enero 2025,2524.08,2.524 €/m2
Santander,2024-12-01,Diciembre 2024,2497.4,2.497 €/m2
Santander,2024-11-01,Noviembre 2024,2527.88,2.528 €/m2
Santander,2024-10-01,Octubre 2024,2520.5,2.521 €/m2
Santander,2024-09-01,Septiembre 2024,2475.07,2.475 €/m2
Santander,2024-08-01,Agosto 2024,2411.52,2.412 €/m2
Santander,2024-07-01,Julio 2024,2348.33,2.348 €/m2
Santander,2024-06-01,Junio 2024,2317.14,2.317 €/m2
Santander,2024-05-01,Mayo 2024,2272.95,2.273 €/m2
Santander,2024-04-01,Abril 2024,2263.32,2.263 €/m2
Santander,2024-03-01,Marzo 2024,2252.39,2.252 €/m2
Santander,2024-02-01,Febrero 2024,2193.1,2.193 €/m2
Santander,2024-01-01,Enero 2024,2154.71,2.155 €/m2
Santander,2023-12-01,Diciembre 2023,2135.97,2.136 €/m2
Santander,2023-11-01,Noviembre 2023,2131.28,2.131 €/m2
Santander,2023-10-01,Octubre 2023,2133.69,2.134 €/m2
Santander,2023-09-01,Septiembre 2023,2121.29,2.121 €/m2
Santander,2023-08-01,Agosto 2023,2100.17,2.100 €/m2
Santander,2023-07-01,Julio 2023,2032.28,2.032 €/m2
Santander,2023-06-01,Junio 2023,2037.56,2.038 €/m2
Santander,2023-05-01,Mayo 2023,2027.26,2.027 €/m2
Santander,2023-04-01,Abril 2023,2005.35,2.005 €/m2
Santander,2023-03-01,Marzo 2023,1997.74,1.998 €/m2
Santander,2023-02-01,Febrero 2023,1988.29,1.988 €/m2
Santander,2023-01-01,Enero 2023,1962.04,1.962 €/m2
Santander,2022-12-01,Diciembre 2022,1960.85,1.961 €/m2
Santander,2022-11-01,Noviembre 2022,1938.86,1.939 €/m2
Santander,2022-10-01,Octubre 2022,1942.03,1.942 €/m2
Santander,2022-09-01,Septiembre 2022,1953.27,1.953 €/m2
Santander,2022-08-01,Agosto 2022,1929.29,1.929 €/m2
Santander,2022-07-01,Julio 2022,1913.58,1.914 €/m2
Santander,2022-06-01,Junio 2022,1914.45,1.914 €/m2
Santander,2022-05-01,Mayo 2022,1881.7,1.882 €/m2
Santander,2022-04-01,Abril 2022,1855.12,1.855 €/m2
Santander,2022-03-01,Marzo 2022,1860.77,1.861 €/m2
Santander,2022-02-01,Febrero 2022,1885.8,1.886 €/m2
Santander,2022-01-01,Enero 2022,1898.85,1.899 €/m2
Santander,2021-12-01,Diciembre 2021,1908.75,1.909 €/m2
Santander,2021-11-01,Noviembre 2021,1927.48,1.927 €/m2
Santander,2021-10-01,Octubre 2021,1918.51,1.919 €/m2
Santander,2021-09-01,Septiembre 2021,1910.79,1.911 €/m2
Santander,2021-08-01,Agosto 2021,1876.03,1.876 €/m2
Santander,2021-07-01,Julio 2021,1879.2,1.879 €/m2
Santander,2021-06-01,Junio 2021,1875.07,1.875 €/m2
Santander,2021-05-01,Mayo 2021,1883.93,1.884 €/m2
Santander,2021-04-01,Abril 2021,1860.79,1.861 €/m2
Santander,2021-03-01,Marzo 2021,1859.66,1.860 €/m2
Santander,2021-02-01,Febrero 2021,1877.79,1.878 €/m2
Santander,2021-01-01,Enero 2021,1857.67,1.858 €/m2
Santander,2020-12-01,Diciembre 2020,1856,1.856 €/m2
Santander,2020-11-01,Noviembre 2020,1878.82,1.879 €/m2
Santander,2020-10-01,Octubre 2020,1883.98,1.884 €/m2
Santander,2020-09-01,Septiembre 2020,1867.84,1.868 €/m2
Santander,2020-08-01,Agosto 2020,1871.15,1.871 €/m2
Santander,2020-07-01,Julio 2020,1891.18,1.891 €/m2
Santander,2020-06-01,Junio 2020,1878.54,1.879 €/m2
Santander,2020-05-01,Mayo 2020,1869.32,1.869 €/m2
Santander,2020-04-01,Abril 2020,1855.35,1.855 €/m2
Santander,2020-03-01,Marzo 2020,1838.59,1.839 €/m2
Santander,2020-02-01,Febrero 2020,1834.26,1.834 €/m2
Santander,2020-01-01,Enero 2020,1821.64,1.822 €/m2
Santander,2019-12-01,Diciembre 2019,1801.28,1.801 €/m2
Santander,2019-11-01,Noviembre 2019,1818.43,1.818 €/m2
Santander,2019-10-01,Octubre 2019,1831.48,1.831 €/m2
Santander,2019-09-01,Septiembre 2019,1819.02,1.819 €/m2
Santander,2019-08-01,Agosto 2019,1825.88,1.826 €/m2
Santander,2019-07-01,Julio 2019,1835.14,1.835 €/m2
Santander,2019-06-01,Junio 2019,1836.76,1.837 €/m2
Santander,2019-05-01,Mayo 2019,1824.33,1.824 €/m2
Santander,2019-04-01,Abril 2019,1807.29,1.807 €/m2
Santander,2019-03-01,Marzo 2019,1803.75,1.804 €/m2
Santander,2019-02-01,Febrero 2019,1801.52,1.802 €/m2
Santander,2019-01-01,Enero 2019,1803.86,1.804 €/m2
Santander,2018-12-01,Diciembre 2018,1798.58,1.799 €/m2
Santander,2018-11-01,Noviembre 2018,1802.6,1.803 €/m2
Santander,2018-10-01,Octubre 2018,1832.27,1.832 €/m2
Santander,2018-09-01,Septiembre 2018,1816.3,1.816 €/m2
Santander,2018-08-01,Agosto 2018,1807.22,1.807 €/m2
Santander,2018-07-01,Julio 2018,1813.46,1.813 €/m2
Santander,2018-06-01,Junio 2018,1819.3,1.819 €/m2
Santander,2018-05-01,Mayo 2018,1823.24,1.823 €/m2
Santander,2018-04-01,Abril 2018,1814.56,1.815 €/m2
Santander,2018-03-01,Marzo 2018,1799.44,1.799 €/m2
Santander,2018-02-01,Febrero 2018,1794.64,1.795 €/m2
Santander,2018-01-01,Enero 2018,1786.26,1.786 €/m2
Santander,2017-12-01,Diciembre 2017,1774.1,1.774 €/m2
Santander,2017-11-01,Noviembre 2017,1781.32,1.781 €/m2
Santander,2017-10-01,Octubre 2017,1771.65,1.772 €/m2
Santander,2017-09-01,Septiembre 2017,1778.75,1.779 €/m2
Santander,2017-08-01,Agosto 2017,1766.66,1.767 €/m2
Santander,2017-07-01,Julio 2017,1771.03,1.771 €/m2
Santander,2017-06-01,Junio 2017,1763.18,1.763 €/m2
Santander,2017-05-01,Mayo 2017,1761.54,1.762 €/m2
Santander,2017-04-01,Abril 2017,1756.48,1.756 €/m2
Santander,2017-03-01,Marzo 2017,1754.79,1.755 €/m2
Santander,2017-02-01,Febrero 2017,1738.38,1.738 €/m2
Santander,2017-01-01,Enero 2017,1749.43,1.749 €/m2
Santander,2016-12-01,Diciembre 2016,1760.16,1.760 €/m2
Santander,2016-11-01,Noviembre 2016,1762,1.762 €/m2
Santander,2016-10-01,Octubre 2016,1760.27,1.760 €/m2
Santander,2016-09-01,Septiembre 2016,1755.73,1.756 €/m2
Santander,2016-08-01,Agosto 2016,1754.44,1.754 €/m2
Santander,2016-07-01,Julio 2016,1762.38,1.762 €/m2
Santander,2016-06-01,Junio 2016,1759.43,1.759 €/m2
Santander,2016-05-01,Mayo 2016,1755.23,1.755 €/m2
Santander,2016-04-01,Abril 2016,1783.21,1.783 €/m2
Santander,2016-03-01,Marzo 2016,1801.49,1.801 €/m2
Santander,2016-02-01,Febrero 2016,1812.6,1.813 €/m2
Santander,2016-01-01,Enero 2016,1828.79,1.829 €/m2
Santander,2015-12-01,Diciembre 2015,1828.09,1.828 €/m2
Santander,2015-11-01,Noviembre 2015,1822.78,1.823 €/m2
Santander,2015-10-01,Octubre 2015,1829.41,1.829 €/m2
Santander,2015-09-01,Septiembre 2015,1832.83,1.833 €/m2
Santander,2015-08-01,Agosto 2015,1828.73,1.829 €/m2
Santander,2015-07-01,Julio 2015,1829.38,1.829 €/m2
Santander,2015-06-01,Junio 2015,1874.93,1.875 €/m2
Santander,2015-05-01,Mayo 2015,1894.33,1.894 €/m2
Santander,2015-04-01,Abril 2015,1887.29,1.887 €/m2
Santander,2015-03-01,Marzo 2015,1898.62,1.899 €/m2
Santander,2015-02-01,Febrero 2015,1896.28,1.896 €/m2
Santander,2015-01-01,Enero 2015,1909.99,1.910 €/m2
Santander,2014-12-01,Diciembre 2014,1923.6,1.924 €/m2
Santander,2014-11-01,Noviembre 2014,1962.6,1.963 €/m2
Santander,2014-10-01,Octubre 2014,1960.76,1.961 €/m2
Santander,2014-09-01,Septiembre 2014,1971.09,1.971 €/m2
Santander,2014-08-01,Agosto 2014,1973.36,1.973 €/m2
Santander,2014-07-01,Julio 2014,1977.78,1.978 €/m2
Santander,2014-06-01,Junio 2014,1973.86,1.974 €/m2
Santander,2014-05-01,Mayo 2014,1973.49,1.973 €/m2
Santander,2014-04-01,Abril 2014,2006.71,2.007 €/m2
Santander,2014-03-01,Marzo 2014,2015.6,2.016 €/m2
Santander,2014-02-01,Febrero 2014,2038.64,2.039 €/m2
Santander,2014-01-01,Enero 2014,2056.59,2.057 €/m2
Santander,2013-12-01,Diciembre 2013,2060.75,2.061 €/m2
Santander,2013-11-01,Noviembre 2013,2055.81,2.056 €/m2
Santander,2013-10-01,Octubre 2013,2080.28,2.080 €/m2
Santander,2013-09-01,Septiembre 2013,2115.75,2.116 €/m2
Santander,2013-08-01,Agosto 2013,2148.66,2.149 €/m2
Santander,2013-07-01,Julio 2013,2158.67,2.159 €/m2
Santander,2013-06-01,Junio 2013,2201.18,2.201 €/m2
Santander,2013-05-01,Mayo 2013,2212.24,2.212 €/m2
Santander,2013-04-01,Abril 2013,2225.39,2.225 €/m2
Santander,2013-03-01,Marzo 2013,2248.35,2.248 €/m2
Santander,2013-02-01,Febrero 2013,2275.08,2.275 €/m2
Santander,2013-01-01,Enero 2013,2277.94,2.278 €/m2
Santander,2012-12-01,Diciembre 2012,2279.42,2.279 €/m2
Santander,2012-11-01,Noviembre 2012,2276.63,2.277 €/m2
Santander,2012-10-01,Octubre 2012,2281.22,2.281 €/m2
Santander,2012-09-01,Septiembre 2012,2311.76,2.312 €/m2
Santander,2012-08-01,Agosto 2012,2333.44,2.333 €/m2
Santander,2012-07-01,Julio 2012,2367.1,2.367 €/m2
Santander,2012-06-01,Junio 2012,2386.5,2.387 €/m2
Santander,2012-05-01,Mayo 2012,2415.28,2.415 €/m2
Santander,2012-04-01,Abril 2012,2447.79,2.448 €/m2
Santander,2012-03-01,Marzo 2012,2432.42,2.432 €/m2
Santander,2012-02-01,Febrero 2012,2412.83,2.413 €/m2
Santander,2012-01-01,Enero 2012,2400.21,2.400 €/m2
Santander,2011-12-01,Diciembre 2011,2437.4,2.437 €/m2
Santander,2011-11-01,Noviembre 2011,2462.63,2.463 €/m2
Santander,2011-10-01,Octubre 2011,2467.6,2.468 €/m2
Santander,2011-09-01,Septiembre 2011,2462.99,2.463 €/m2
Santander,2011-08-01,Agosto 2011,2460.56,2.461 €/m2
Santander,2011-07-01,Julio 2011,2467.4,2.467 €/m2
Santander,2011-06-01,Junio 2011,2465.56,2.466 €/m2
Santander,2011-05-01,Mayo 2011,2431.25,2.431 €/m2
Santander,2011-04-01,Abril 2011,2382.69,2.383 €/m2
Santander,2011-03-01,Marzo 2011,2388.43,2.388 €/m2
Santander,2011-02-01,Febrero 2011,2422.39,2.422 €/m2
Santander,2011-01-01,Enero 2011,2457.84,2.458 €/m2
Santander,2010-12-01,Diciembre 2010,2461.38,2.461 €/m2
Santander,2010-11-01,Noviembre 2010,2454.63,2.455 €/m2
Santander,2010-10-01,Octubre 2010,2452.52,2.453 €/m2
Santander,2010-09-01,Septiembre 2010,2457.75,2.458 €/m2
Santander,2010-08-01,Agosto 2010,2455.19,2.455 €/m2
Santander,2010-07-01,Julio 2010,2449.61,2.450 €/m2
Santander,2010-06-01,Junio 2010,2449.07,2.449 €/m2
Santander,2010-05-01,Mayo 2010,2514.4,2.514 €/m2
Santander,2010-04-01,Abril 2010,2521.25,2.521 €/m2
Santander,2010-03-01,Marzo 2010,2546.48,2.546 €/m2
Santander,2010-02-01,Febrero 2010,2506.04,2.506 €/m2
Santander,2010-01-01,Enero 2010,2536.05,2.536 €/m2
Santander,2009-12-01,Diciembre 2009,2565.21,2.565 €/m2
Santander,2009-11-01,Noviembre 2009,2593.73,2.594 €/m2
Santander,2009-10-01,Octubre 2009,2640.32,2.640 €/m2
Santander,2009-09-01,Septiembre 2009,2653.12,2.653 €/m2
Santander,2009-08-01,Agosto 2009,2638.47,2.638 €/m2
Santander,2009-07-01,Julio 2009,2653.31,2.653 €/m2
Santander,2009-06-01,Junio 2009,2693.49,2.693 €/m2
Santander,2009-05-01,Mayo 2009,2626.85,2.627 €/m2
Santander,2009-04-01,Abril 2009,2605.93,2.606 €/m2
Santander,2009-03-01,Marzo 2009,2623.69,2.624 €/m2
Santander,2009-02-01,Febrero 2009,2628.98,2.629 €/m2
Santander,2009-01-01,Enero 2009,2558.6,2.559 €/m2
Santander,2008-12-01,Diciembre 2008,2500.79,2.501 €/m2
Santander,2008-11-01,Noviembre 2008,2591.13,2.591 €/m2
Santander,2008-10-01,Octubre 2008,2490.49,2.490 €/m2
Santander,2008-09-01,Septiembre 2008,2491.45,2.491 €/m2
Santander,2008-08-01,Agosto 2008,2460.01,2.460 €/m2
Santander,2008-07-01,Julio 2008,2437.67,2.438 €/m2
Santander,2008-06-01,Junio 2008,2447.71,2.448 €/m2
Santander,2008-05-01,Mayo 2008,2441.33,2.441 €/m2
Santander,2008-04-01,Abril 2008,2426.87,2.427 €/m2
Santander,2008-03-01,Marzo 2008,2448.82,2.449 €/m2
Santander,2008-02-01,Febrero 2008,2523.45,2.523 €/m2
Santander,2008-01-01,Enero 2008,2441.2,2.441 €/m2
Santander,2007-12-01,Diciembre 2007,2477.74,2.478 €/m2
Santander,2007-11-01,Noviembre 2007,2573.9,2.574 €/m2
Santander,2007-10-01,Octubre 2007,-,n.d.
Santander,2007-09-01,Septiembre 2007,-,n.d.
Santander,2007-08-01,Agosto 2007,-,n.d.
Santander,2007-07-01,Julio 2007,-,n.d.
Santander,2007-06-01,Junio 2007,-,n.d.
Santander,2007-05-01,Mayo 2007,-,n.d.
Santander,2007-04-01,Abril 2007,-,n.d.
Santander,2007-03-01,Marzo 2007,-,n.d.
Santander,2007-02-01,Febrero 2007,-,n.d.
Santander,2007-01-01,Enero 2007,-,n.d.
Santander,2006-12-01,Diciembre 2006,-,n.d.
Santander,2006-11-01,Noviembre 2006,-,n.d.
Santander,2006-10-01,Octubre 2006,-,n.d.
Santander,2006-09-01,Septiembre 2006,-,n.d.
Santander,2006-08-01,Agosto 2006,-,n.d.
Santander,2006-07-01,Julio 2006,-,n.d.
Santander,2006-06-01,Junio 2006,-,n.d.
Santander,2006-05-01,Mayo 2006,-,n.d.
Santander,2006-04-01,Abril 2006,-,n.d.
Santander,2006-03-01,Marzo 2006,-,n.d.
Santander,2006-02-01,Febrero 2006,-,n.d.
Santander,2006-01-01,Enero 2006,-,n.d.
Ajo,2025-10-01,Octubre 2025,-,n.d.
Ajo,2025-09-01,Septiembre 2025,-,n.d.
Ajo,2025-08-01,Agosto 2025,-,n.d.
Ajo,2025-07-01,Julio 2025,-,n.d.
Ajo,2025-06-01,Junio 2025,-,n.d.
Ajo,2025-05-01,Mayo 2025,-,n.d.
Ajo,2025-04-01,Abril 2025,-,n.d.
Ajo,2025-03-01,Marzo 2025,-,n.d.
Ajo,2025-02-01,Febrero 2025,-,n.d.
Ajo,2025-01-01,Enero 2025,-,n.d.
Ajo,2024-12-01,Diciembre 2024,-,n.d.
Ajo,2024-11-01,Noviembre 2024,1717.68,1.718 €/m2
Ajo,2024-10-01,Octubre 2024,1730.07,1.730 €/m2
Ajo,2024-09-01,Septiembre 2024,-,n.d.
Ajo,2024-08-01,Agosto 2024,-,n.d.
Ajo,2024-07-01,Julio 2024,-,n.d.
Ajo,2024-06-01,Junio 2024,1614.12,1.614 €/m2
Ajo,2024-05-01,Mayo 2024,1628.22,1.628 €/m2
Ajo,2024-04-01,Abril 2024,1602.25,1.602 €/m2
Ajo,2024-03-01,Marzo 2024,1635.55,1.636 €/m2
Ajo,2024-02-01,Febrero 2024,1611.06,1.611 €/m2
Ajo,2024-01-01,Enero 2024,1586.57,1.587 €/m2
Ajo,2023-12-01,Diciembre 2023,1563.11,1.563 €/m2
Ajo,2023-11-01,Noviembre 2023,1550.03,1.550 €/m2
Ajo,2023-10-01,Octubre 2023,1530.97,1.531 €/m2
Ajo,2023-09-01,Septiembre 2023,1493.15,1.493 €/m2
Ajo,2023-08-01,Agosto 2023,1458.04,1.458 €/m2
Ajo,2023-07-01,Julio 2023,1469.72,1.470 €/m2
Ajo,2023-06-01,Junio 2023,1482.8,1.483 €/m2
Ajo,2023-05-01,Mayo 2023,1505.53,1.506 €/m2
Ajo,2023-04-01,Abril 2023,1478.84,1.479 €/m2
Ajo,2023-03-01,Marzo 2023,1523.04,1.523 €/m2
Ajo,2023-02-01,Febrero 2023,1489.3,1.489 €/m2
Ajo,2023-01-01,Enero 2023,1489.66,1.490 €/m2
Ajo,2022-12-01,Diciembre 2022,1501.07,1.501 €/m2
Ajo,2022-11-01,Noviembre 2022,1519.34,1.519 €/m2
Ajo,2022-10-01,Octubre 2022,1539.8,1.540 €/m2
Ajo,2022-09-01,Septiembre 2022,1512.62,1.513 €/m2
Ajo,2022-08-01,Agosto 2022,1539.88,1.540 €/m2
Ajo,2022-07-01,Julio 2022,1558.37,1.558 €/m2
Ajo,2022-06-01,Junio 2022,1564.44,1.564 €/m2
Ajo,2022-05-01,Mayo 2022,1517.34,1.517 €/m2
Ajo,2022-04-01,Abril 2022,1483.98,1.484 €/m2
Ajo,2022-03-01,Marzo 2022,1480.72,1.481 €/m2
Ajo,2022-02-01,Febrero 2022,1494.17,1.494 €/m2
Ajo,2022-01-01,Enero 2022,1436.74,1.437 €/m2
Ajo,2021-12-01,Diciembre 2021,1468.85,1.469 €/m2
Ajo,2021-11-01,Noviembre 2021,1463.54,1.464 €/m2
Ajo,2021-10-01,Octubre 2021,1538.7,1.539 €/m2
Ajo,2021-09-01,Septiembre 2021,1513.53,1.514 €/m2
Ajo,2021-08-01,Agosto 2021,1478.77,1.479 €/m2
Ajo,2021-07-01,Julio 2021,1459.25,1.459 €/m2
Ajo,2021-06-01,Junio 2021,1475.29,1.475 €/m2
Ajo,2021-05-01,Mayo 2021,1468.91,1.469 €/m2
Ajo,2021-04-01,Abril 2021,1445.05,1.445 €/m2
Ajo,2021-03-01,Marzo 2021,1444.44,1.444 €/m2
Ajo,2021-02-01,Febrero 2021,1429.02,1.429 €/m2
Ajo,2021-01-01,Enero 2021,1438.14,1.438 €/m2
Ajo,2020-12-01,Diciembre 2020,1464.77,1.465 €/m2
Ajo,2020-11-01,Noviembre 2020,1465.97,1.466 €/m2
Ajo,2020-10-01,Octubre 2020,1444.44,1.444 €/m2
Ajo,2020-09-01,Septiembre 2020,1431.42,1.431 €/m2
Ajo,2020-08-01,Agosto 2020,1439.17,1.439 €/m2
Ajo,2020-07-01,Julio 2020,1444.51,1.445 €/m2
Ajo,2020-06-01,Junio 2020,1493.33,1.493 €/m2
Ajo,2020-05-01,Mayo 2020,1493.9,1.494 €/m2
Ajo,2020-04-01,Abril 2020,1481.81,1.482 €/m2
Ajo,2020-03-01,Marzo 2020,1440.76,1.441 €/m2
Ajo,2020-02-01,Febrero 2020,1436.33,1.436 €/m2
Ajo,2020-01-01,Enero 2020,1428.9,1.429 €/m2
Ajo,2019-12-01,Diciembre 2019,1420.61,1.421 €/m2
Ajo,2019-11-01,Noviembre 2019,1384.99,1.385 €/m2
Ajo,2019-10-01,Octubre 2019,1385,1.385 €/m2
Ajo,2019-09-01,Septiembre 2019,1412.77,1.413 €/m2
Ajo,2019-08-01,Agosto 2019,1402.32,1.402 €/m2
Ajo,2019-07-01,Julio 2019,1404.54,1.405 €/m2
